text,label
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,1
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,1
CompaniesDixons Carphone to close 134 UK stores as sales jump,1
"Broker tips: RBS, Croda, Sage",2
"Broker tips: RBS, Croda, Sage",2
Shell share price: Standard Life announce position against BG acquisition,1
Shell share price: Standard Life announce position against BG acquisition,1
Tesco share price down as grocer faces SFO investigation outcome,0
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",2
Greene King's third quarter sales boosted by festive season,2
ARM Royalties Accelerate as Smartphone Market Regains Strength,2
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,1
InterContinental Hotels Group share price climbs on $1.5bn special dividend,2
Amazon to attack UK grocery market with Morrisons deal,2
AstraZeneca share price: Acerta deal pays off with orphan drug status,2
"BHP Billiton posts big loss, slashes dividend",0
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,1
BG Group appoints new CEO one month early,1
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",1
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",1
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,1
BHP Billiton drags FTSE lower after slashing dividend,0
"BHP Billiton slashes dividend, posts $5.67 billion net loss",0
CompaniesMeggitt profits hit by weak energy and military markets,1
Royal Mail share price edges lower as group raises stamp price,1
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",1
GlaxoSmithKline starts hunt for successor to CEO Witty,1
"Rio Tinto swings to loss, drops dividend policy",0
France raises concerns over proposed LSE-Deutsche Boerse deal,0
MarketsBP promotes upstream boss to deputy CEO,1
Legal & General share price: Finance chief to step down,1
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,1
Arm profits and sales up as shift away from mobile gains pace,2
Barclays appoints JPMorgan's Paul Compton as new COO,1
Barclays appoints JPMorgan's Paul Compton as new COO,1
U.S. Debt Lures Schroders as ECB Depresses Rates,1
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",1
NYSE owner ICE considers offer for LSE,2
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,1
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,2
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),2
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),2
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),2
Intertek swings to Â£347 mln loss on oil's slump,0
Sanofi poaches AstraZeneca scientist as new research head,1
Tesco breaks its downward slide by cutting sales decline in half,1
"News FeedSchroders books solid earnings growth, several board changes",2
Intertek Group announces strategic update outlining its plan,1
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,1
Tullow Oil Suspends Dividend Amid Oil Price Fall,0
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,1
AB InBev to Sell SABMiller Stake in China's Snow Beer,1
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,1
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,1
Industry NewsWolseley confident in reslilience amid mixed markets,1
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,0
FTSE edges up as investors cheer Kingfisher results,2
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,1
Britain's FTSE gets lift from Prudential results,2
Amazon's grocery deal with Morrisons is only the beginning,2
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",0
ICE Said to Start Lining Up Financing for LSE Bidding War,1
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",1
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,2
Aviva weighs cash handout after beating profit forecast,2
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",2
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",1
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",1
AB InBev to sell more SAB assets as seeks EU deal approval,1
Tesco's Sales Pickup Isn't Enough,1
Spain's CaixaBank Expects To Close Deal For Banco BPI,2
ITV share price: Group mulls takeover of Canada's Entertainment One,2
Entertainment One dispels ITV takeover rumours,1
Entertainment One dispels ITV takeover rumours,1
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,1
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,1
Tata Steel working with StanChart for UK unit sale - source,1
Tata Steel working with StanChart for UK unit sale - source,1
Crown Castle buys Tower Development Corp for $461 million,2
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,1
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,2
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",1
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",1
Spain's Caixabank launches new takeover bid for Banco BPI,1
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",1
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,1
Shire Sees Baxalta Deal Closing as Expected After New Rules,1
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",1
Tesco share price steady as analysts weigh in on results,1
Standard Chartered lags on capital worries,0
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,1
Should You Follow Berkshire Hathaway Into Apple Stock?,1
Morrisons book second consecutive quarter of sales growth,2
Royal Mail gets mixed bag from Ofcom postal regulation report,1
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,0
Standard Life share price: Insurer buys advice firm Pearson Jones,2
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",2
Retail giant Kingfisher reports 'solid' start to the year,2
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,1
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,1
"Berkshire discloses unit's ties to Iran, opens probe",1
Berkshire Hathaway names Kara Raiguel to lead General Re unit,1
"European stocks hover near 3-week low, Dialog and BHP slump",0
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,2
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,2
Australia clears AB Inbev's $100 billion SABMiller buyout plan,2
Goodwin not to face Scottish prosecution over RBS,1
Royal Mail turnaround proving expensive in tough UK market,1
Whitbread buys 49% stake in Pure food chain,2
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",1
Royal Mail share price rallies amid positive broker comments,2
InterContinental Hotels first-quarter global room revenue lags estimates,1
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,2
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,0
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,1
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,1
BP joins forces with Det Norske in Norway,1
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,1
Johnson Matthey revs up on clean air drive,1
RBS will reportedly appoint Howard Davies as its next chairman,1
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",1
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",1
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",1
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,1
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,1
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,0
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,0
HSBC Hit by Fresh Details of Tax Evasion Claims,0
Tesco sales recover as focus returns to core business,2
Johnson Matthey profit falls but dividend rises,1
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",1
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",1
Priceline's stock jumps to new high for the year after Barclays upgrade,2
"Tesco set to sell Kipa, Giraffe businesses - Sky News",1
"Tesco set to sell Kipa, Giraffe businesses - Sky News",1
Relief for Lewis as Tesco sees sales grow for first time in a year,2
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,1
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,1
HSBC Says Unit to Book $585 Million Charge on Settlement,0
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",2
Aviva promises higher dividends to boost flagging share price,1
CompaniesFresnillo shares jump 8% as silver price breaks $21,2
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",1
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",1
Berkshire seeks to boost its Wells Fargo stake above 10 percent,2
Tesco share price tumbles after negative broker note,0
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,2
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,2
Berkshire applies to boost Wells Fargo stake above 10 percent,2
"Aviva, M&G suspend property funds as investors panic",0
"UK housing market steadies after Brexit dip, Persimmon says",2
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,2
Morrisons finance chief to fill gap as CEO leaves early,1
Builder Persimmon hails 6% rise in house sales,2
EasyJet attracts more passengers in June but still lags Ryanair,1
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",2
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,2
Tesco shareholders back ITV head for chairman,1
"Buffett's Berkshire builds Deere stake, dumps Exxon",0
"Buffett's Berkshire builds Deere stake, dumps Exxon",1
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,0
AstraZeneca's patent on asthma drug invalidated by US court,0
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,1
Whitbread share price climbs on Q4 sales growth,2
Warren Buffett defends Berkshire Hathaway's conglomerate structure,1
G4S sees profits rise but UK contract problems remain,1
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,2
Auto Trader share price surges as company floats on LSE,2
New Credit Suisse boss faces stiff challenge in Asia,1
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",1
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",1
Is It Worth Investing In Tesco PLC And Prudential plc Now?,1
Insight hires Aviva's David Hillier for multi-asset team,1
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,2
Sainsbury's says to outperform rivals in tough market,2
CompaniesKingfisher bid for Mr Bricolage runs into trouble,1
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,2
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",2
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",2
GSK and Novartis complete deals to reshape both drugmakers,1
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",2
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,1
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,1
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",2
British American Tobacco drops and sues PwC over pollution scandal,0
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,0
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",1
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",1
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,1
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,2
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,2
RBI surprises Street; Sensex pares gains after hitting mount 30k,1
Credit Suisse poaches Prudential's Thiam for Asian push,1
Credit Suisse poaches Prudential's Thiam for Asian push,1
Kingfisher takeover of Mr Bricolage could hit a brick wall,1
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",0
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,1
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,2
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,2
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,2
Randgold profit hit by poor gold price but dividend still increases,1
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",2
Market Report: Aviva tops the market as traders approve of its choice of Friends,2
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,1
Primark racks up a happy Christmas after strong sales,2
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",1
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",1
CompaniesDiageo stays neutral on India boardroom turmoil,1
UPDATE 1-Pearson expects to grow this year after solid end to 2014,2
Germanwings disaster will not affect image of budget air travel - easyJet,1
Germanwings disaster will not affect image of budget air travel - easyJet,1
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,0
Tesco sells Blinkbox and broadband service to TalkTalk,1
Tesco sells Blinkbox and broadband service to TalkTalk,1
Shell offers 50 percent premium to buy BG for $70 billion,1
WPP boosts sales despite cautious clients,1
Shell to buy BG Group in $69.7 billion takeover,1
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,2
UPDATE 1-BP shareholders back more disclosure on climate change risks,1
Shell challenges Exxon dominance with 47 billion-pound bid for BG,1
Shell challenges Exxon dominance with 47 billion-pound bid for BG,1
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,1
City spirits sink after Diageo comes up short with sales slide,0
Diageo receives reports from United Spirits on financial irregularities involving ...,1
Diageo receives reports from United Spirits on financial irregularities involving ...,1
Unilever profit rises despite sales slump in China,1
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,2
Tesco sales rise shows tentative recovery continues,1
Diageo sales disappoint as currency and comparatives leave bitter taste,0
Tesco leads leap in FTSE 100; Marks & Spencer drops,2
AstraZeneca profit down as sales of stalwarts fade,0
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",2
Glencore blames rivals for creating metals glut,0
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,1
easyJet leads Britain's FTSE lower as global bond rout resumes,0
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,2
Royal Dutch Shell profit rises; dividend up 4%,2
BG Group Still Happy With Shell's $70 Billion Offer,1
SABMiller buys Meantime to quench thirst for craft beer,1
Aviva shuts Friends Life head office in rapid integration move,1
Retailers Kingfisher and Sports Direct rise in Britain's share index,2
"GlaxoSmithKline targets growth across units, scraps ViiV IPO",1
Tesco share price closes higher as two more directors leave grocer,2
Tesco leads FTSE higher on Clubcard bid reports,2
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,2
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",2
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",1
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",1
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,0
Glencore chief blames rivals' overproduction for share price fall,1
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",1
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",1
Hargreaves Lansdown share price falls as costs mount - although pensions ...,0
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",1
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",1
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,2
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",0
MillerCoors Board Names Gavin Hattersley Interim CEO,1
"Britain's FTSE gains, Land Securities up after dividend hike",2
"Britain's FTSE bounces back, Mondi and Barratt lead",2
"Britain's FTSE bounces back, Mondi and Barratt lead",2
Morning Agenda: Shire's Deal for NPS,1
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,2
Do it for me' trend underpins UK sales growth at Kingfisher,1
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",2
"Centrica extends gas deals with Gazprom, Statoil",1
"Centrica extends gas deals with Gazprom, Statoil",1
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,1
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",0
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,2
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,1
Severn Trent share price jumps as Canadian investor renews pursuit of utility,2
New Morrisons duo get former boss's support to diffuse investor tension,1
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,2
$TRX http://stks.co/1KkK Long setup. MACD cross.,2
I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,0
$GRPN might be selling off ahead of $P earnings...,1
$IACI http://stks.co/tJU Looks good on the weekly chart.,2
"$pcln back over ""up"" trendline from 10/4",1
RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,2
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,1
$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,1
$MOS looking good here at $58.65. Calls are active in this month and weekly,2
"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",2
$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,2
$TZOO a close above 28.64 and we are ready to rock and roll,1
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",2
$WFT closng higher from here,2
$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,2
$SPY bull move ended waiting for next setup,1
Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,2
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",1
$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,0
$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,2
volatility squeeze in $AAPL. I hope it gets resolved to the upside,1
"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",0
Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,2
That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,0
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",2
$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,2
$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,2
longed $AMZN 300 @ 189.82,2
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",1
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",2
"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint",0
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",1
$vxx adding to position here !,2
$GPS Gap September Comparable Store Sales -4%,0
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,2
$MA http://stks.co/1CYN continues to consolidate / base here,1
Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,2
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,2
$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,2
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,0
$aapl news is becoming very bullish again http://stks.co/tMU,2
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,1
"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",2
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,2
Short more $FAZ for all who don't know that means markets will tank now :-p,0
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,0
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",2
$ELN longs...congrats...another HOD,2
"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",0
$TSPT  long 8.00,2
$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,2
Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,1
"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",1
$FIO won't stay down,2
$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,2
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,2
i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,1
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",1
"$ZSL looking very weak, could be a good short setup.",0
"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",0
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,0
"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",2
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",2
$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,2
like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,2
My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,1
$IBM staying strong,2
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",0
"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",1
$SIGA Bid for Reargument Denied by Judge,0
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",1
$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,2
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,1
$RDC Rowan Expands Share Repurchase Program to $150 million,1
$NVDA sideways,1
$HITK  Resuming advance into new historical highs.,2
Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,1
$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,2
RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,2
"that was quick, out $FIO 21.35, market tanking, scaling down longs now",0
$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,0
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,1
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",0
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,2
$mako hanging in well today. still in a basing pattern. have eyes on it,1
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",0
